Constituency Name,State,Winning Party,Winning Candidate
Raiganj,West Bengal,INC,DEEPA DASMUNSI
Balurghat,West Bengal,RSP,PRASANTA KUMAR MAJUMDAR
Maldaha Uttar,West Bengal,INC,MAUSAM NOOR
Maldaha Dakshin,West Bengal,INC,ABU HASEM KHAN CHOUDHURY
Jangipur,West Bengal,INC,PRANAB MUKHERJEE
Baharampur,West Bengal,INC,ADHIR RANJAN CHOWDHURY
Murshidabad,West Bengal,INC,ABDUL MANNAN HOSSAIN
Krishnanagar,West Bengal,AITC,TAPAS PAUL
Ranaghat,West Bengal,AITC,SUCHARU RANJAN HALDAR
Bangaon,West Bengal,AITC,GOBINDA CHANDRA NASKAR
Barrackpore,West Bengal,AITC,DINESH TRIVEDI
Dum dum,West Bengal,AITC,SOUGATA RAY
Barasat,West Bengal,AITC,KAKALI GHOSH DASTIDAR
Basirhat,West Bengal,AITC,SK. NURUL ISLAM
Joynagar,West Bengal,IND,DR. TARUN MONDAL
Mathurapur,West Bengal,AITC,CHOUDHURY MOHAN JATUA
Diamond harbour,West Bengal,AITC,SOMENDRA NATH MITRA
Jadavpur,West Bengal,AITC,KABIR SUMAN
Kolkata Dakshin,West Bengal,AITC,MAMATA BANERJEE
Kolkata Uttar,West Bengal,AITC,SUDIP BANDYOPADHYAY
Howrah,West Bengal,AITC,AMBICA BANERJEE
Uluberia,West Bengal,AITC,SULTAN AHMED
Srerampur,West Bengal,AITC,KALYAN BANERJEE
Hooghly,West Bengal,AITC,DR. RATNA DE (NAG)
Arambagh,West Bengal,CPM,MALIK SAKTI MOHAN
Tamluk,West Bengal,AITC,ADHIKARI SUVENDU
Kanthi,West Bengal,AITC,ADHIKARI SISIR KUMAR
Ghatal,West Bengal,CPI,GURUDAS DASGUPTA
Jhargram,West Bengal,CPM,PULIN BIHARI BASKE
Medinipur,West Bengal,CPI,PRABODH PANDA
Purulia,West Bengal,AIFB,NARAHARI MAHATO
Bankura,West Bengal,CPM,ACHARIA BASUDEB
Bishnupur,West Bengal,CPM,SUSMITA BAURI
Bardhaman Purba,West Bengal,CPM,ANUP KUMAR SAHA
Burdwan - durgapur,West Bengal,CPM,SK. SAIDUL HAQUE
Asansol,West Bengal,CPM,BANSA GOPAL CHOWDHURY
Bolpur,West Bengal,CPM,DOCTOR RAM CHANDRA DOME
Birbhum,West Bengal,AITC,SATABDI ROY
SARGUJA,Chattisgarh,BJP,MURARILAL SINGH
RAIGARH,Chattisgarh,BJP,VISHNU DEO SAI
JANJGIR-CHAMPA,Chattisgarh,BJP,SHRIMATI KAMLA DEVI PATLE
KORBA,Chattisgarh,INC,CHARAN DAS MAHANT
BILASPUR,Chattisgarh,BJP,DILIP SINGH JUDEV
RAJNANDGAON,Chattisgarh,BJP,MADHUSUDAN YADAV
DURG,Chattisgarh,BJP,SAROJ PANDEY
RAIPUR,Chattisgarh,BJP,RAMESH BAIS
MAHASAMUND,Chattisgarh,BJP,CHANDULAL SAHU (CHANDU BHAIYA)
BASTAR,Chattisgarh,BJP,BALIRAM KASHYAP
KANKER,Chattisgarh,BJP,SOHAN POTAI
Rajmahal,Jharkhand,BJP,DEVIDHAN BESRA
Dumka,Jharkhand,JMM,SHIBU SOREN
Godda,Jharkhand,BJP,NISHIKANT DUBEY
Chatra,Jharkhand,IND,INDER SINGH NAMDHARI
Kodarma,Jharkhand,JVM,BABULAL MARANDI
Giridih,Jharkhand,BJP,RAVINDRA KUMAR PANDEY
Dhanbad,Jharkhand,BJP,PASHUPATI NATH SINGH
Ranchi,Jharkhand,INC,SUBODH KANT SAHAY
Jamshedpur,Jharkhand,BJP,ARJUN MUNDA
Singhbhum,Jharkhand,IND,MADHU KORA
Khunti,Jharkhand,BJP,KARIA MUNDA
Lohardaga,Jharkhand,BJP,SUDARSHAN BHAGAT
Palamau,Jharkhand,JMM,KAMESHWAR BAITHA
Hazaribagh,Jharkhand,BJP,YASHWANT SINHA
Tehri Garhwal,Uttarakhand,INC,VIJAY BAHUGUNA
Garhwal,Uttarakhand,INC,SATPAL MAHARAJ
Almora,Uttarakhand,INC,PRADEEP TAMTA
Nainital-udhamsingh Nagar,Uttarakhand,INC,K.C. SINGH BABA
Hardwar,Uttarakhand,INC,HARISH RAWAT
Andaman & nicobar islands,Andaman & Nicobar Islands,BJP,SHRI. BISHNU PADA RAY
Chandigarh,Chandigarh,INC,PAWAN KUMAR BANSAL
Dadar & Nagar Haveli,Dadra & Nagar Haveli,BJP,PATEL NATUBHAI GOMANBHAI
Daman & diu,Daman & Diu,BJP,LALUBHAI PATEL
CHANDNI CHOWK,NCT OF Delhi,INC,KAPIL SIBAL
NORTH EAST DELHI,NCT OF Delhi,INC,JAI PRAKASH AGARWAL
EAST DELHI,NCT OF Delhi,INC,SANDEEP DIKSHIT
NEW DELHI,NCT OF Delhi,INC,AJAY MAKAN
NORTH WEST  DELHI,NCT OF Delhi,INC,KRISHNA TIRATH
WEST  DELHI,NCT OF Delhi,INC,MAHABAL MISHRA
SOUTH DELHI,NCT OF Delhi,INC,RAMESH KUMAR
Lakshadweep,Lakshadweep,INC,HAMDULLAH SAYEED
Puducherry,Puducherry,INC,NARAYANASAMY
